Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.4 ,Black ,2014,155036.0,14990.0,5.4,100.0
BMW,USED,Automatic,Rear,Premium,Hatchback, 5 , 5 ,6 , 3 ,Grey ,2012,67678.0,29950.0,7.5,100.0
Holden,USED,Automatic,Rear,Unleaded,Wagon, 4 , 5 ,6 , 3.6 ,White ,2015,133934.0,22999.0,9.8,100.0
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 2 ,Silver ,2008,174915.0,14990.0,8.0,100.0
Holden,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,Silver ,2014,117000.0,7888.0,7.4,100.0
Hyundai,USED,Automatic,Rear,Diesel,Wagon, 4 , 8 ,4 , 2.5 ,Grey ,2018,190176.0,27990.0,8.8,100.0
Mitsubishi,USED,Manual,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.5 ,White ,2013,231675.0,19800.0,9.1,100.0
BMW,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,4 , 2 ,Black ,2021,23332.0,67988.0,6.4,100.0
Volkswagen,USED,Automatic,Front,Premium,Wagon, 4 , 5 ,4 , 1.4 ,White ,2018,130647.0,21880.0,5.6,100.0
Audi,USED,Automatic,Front,Premium,SUV, 4 , 5 ,4 , 1.4 ,White ,2019,47307.0,41888.0,7.2,100.0
Nissan,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,Black ,2005,69619.0,17900.0,7.239999999999999,100.0
Toyota,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,Silver ,2009,128647.0,18900.0,7.68,100.0
Subaru,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,4 , 2.5 ,Silver ,2016,74983.0,29990.0,7.3,100.0
Mazda,USED,Manual,Front,Premium,Hatchback, 5 , 5 ,4 , 2.3 ,Black ,2007,102496.0,7920.0,8.8,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Silver ,2015,84924.0,14999.0,6.4,100.0
Land,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,6 , 3 ,White ,2013,159558.0,38950.0,8.8,100.0
Mercedes-Benz,USED,Automatic,Front,Premium,Hatchback, 4 , 5 ,4 , 2 ,Black ,2014,98296.0,16999.0,7.68,100.0
Ford,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Silver ,2013,67590.0,12990.0,6.6,100.0
Kia,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.4 ,White ,2017,65502.0,29990.0,8.5,100.0
Porsche,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,8 , 4.8 ,White ,2010,193271.0,29990.0,10.5,100.0
Porsche,USED,Manual,Rear,Premium,Coupe, 2 , 2 ,6 , 3.8 ,White ,2016,23481.0,214880.0,10.3,100.0
Ford,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,6 , 4 ,White ,2007,173839.0,8950.0,12.2,100.0
Suzuki,USED,Automatic,Front,Premium,Hatchback, 4 , 5 ,4 , 2 ,Yellow ,2017,55794.0,26280.0,7.2,100.0
Nissan,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.3 ,White ,2016,258936.0,21290.0,7.0,100.0
Toyota,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,Blue ,2009,106208.0,22900.0,7.68,100.0
Daihatsu,USED,Automatic,Other,Other,SUV, 4 , 5 ,4 , 2 ,Green ,2019,19730.0,33888.0,7.26,100.0
Toyota,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,4 , 2.2 ,Grey ,2013,292134.0,14995.0,6.5,100.0
Toyota,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 3 ,White ,2008,251000.0,21290.0,9.5,100.0
Mazda,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Brown ,2014,130242.0,16388.0,5.8,100.0
Hyundai,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.6 ,White ,2021,35024.0,26990.0,7.2,100.0
